用户名,评论时间,评论内容
此次热可可,2020.9.17 11:09,法国著名社会心理学家勒庞，以研究大众心理学著称。他认为现代生活逐渐以群体聚合为特征。在《乌合之众》中他指出个人一旦进入群体中，他的个性便湮灭，群体的思想占据主导地位；而群体的行为表现为无异议、情绪化和低智商。快开始阅读吧！绝对不虚此行
happyant521,2021.2.5 06:02,真的能回复耶！哈哈
15534078485,2021.3.12 16:03,评论区+1楼
xj123456,2021.5.14 09:05,到此 一游，哈哈哈哈
tomhanxisi,2021.6.21 22:06,我tomhanxisi到此一游！！！学习爬虫
tomhanxisi,2021.6.21 22:06,good!
hongwei80,2021.6.25 14:06,到这来的都目的不纯啊！哈哈!!!
hongwei80,2021.6.25 14:06,到这来的都目的不纯啊！哈哈!!!
15801767605,2021.6.26 00:06,各位都是来爬虫的吧，来+我vx15801767605，我们建个爬虫群
特甜橙,2021.7.1 00:07,O(∩_∩)O哈哈~，让热可可同学保持第一
jerzay,2021.7.1 09:07,爬我爬我哈哈哈
huguagua,2021.7.7 21:07,爬虫安利《非正式会谈》嘻嘻，我是男粉~
yykyyk,2021.7.8 08:07,爬虫
974177489,2021.7.8 10:07,爬虫
spider_1,2021.7.14 09:07,a
spider_1,2021.7.14 09:07,试试
spider_1,2021.7.14 09:07,Good morning Jo
naive333,2021.7.15 10:07,一本好书！
blnmy,2021.7.19 20:07,你们这样爬取的评论不止10个了
Rachel,2021.7.23 13:07,好勒~
wwyyyy,2021.7.23 17:07,2W4Y 起来、前来爬虫
Her0118,2021.7.24 14:07,plun
richkey1977,2021.7.24 20:07,各位新来的爬友，你将在comments文件里面再次相遇
jestwood,2021.7.26 14:07,我应该会爬到吧
mszcc,2021.7.27 17:07,2333为了不爬到学习的小伙伴，加了个判断，2020年以后的评论都不存，果然清净了
adampann,2021.7.27 20:07,"留個腳印,後面來的記得跟上～^++++^"
QueenJ,2021.7.28 10:07,哈哈哈来了来了.
a623431126,2021.7.30 14:07,纪念一下
wqr7205,2021.7.30 22:07,一样目的不纯，就为爬虫
dong2233264,2021.8.1 00:08,aaa
Tessa,2021.8.2 20:08,出来吧
ht280134281,2021.8.2 22:08,到此一游
Emilyoutofctrl,2021.8.4 17:08,阿巴阿巴能被爬到吗
lplikun,2021.8.4 21:08,我的评论看看自己能不能爬到。
ybxq1,2021.8.4 21:08,笑死，还以为是正规图书网站，原来都是来这学爬虫的
blkent,2021.8.5 16:08,爬粑粑
cc__oo,2021.8.6 13:08,嗯，你说得对
123321,2021.8.7 15:08,爬虫萌新到此一游
jiaolagezhaji,2021.8.9 01:08,爬虫好强大啊！！！
kanotse,2021.8.9 11:08,哎呦，不错哦~
soap-ok,2021.8.9 20:08,爬虫加一
soap-ok,2021.8.9 20:08,爬爬爬
luckylhq,2021.8.10 10:08,来了 希望早日学会
summer18,2021.8.10 13:08,爬虫+1
songsong,2021.8.10 21:08,能爬到爬虫们的回复才是重点吧…..
mzzm414,2021.8.11 19:08,有的网站，看着是读书网，实际上却是母巢~
stardust,2021.8.12 09:08,新进爬手
Whiteclouds,2021.8.14 20:08,留个脚印！
luoyuhe,2021.8.16 19:08,加油
feng_2020,2021.8.17 13:08,学习中。哈哈哈
yuemiaoang,2021.8.18 14:08,给爷爬，哈哈哈
xxppnmj,2021.8.18 14:08,俺七星爬虫来也啊哈哈哈哈哈！！！
